commonname,scientificname,areaname,LME,MSE / OMP built?,MSE built citation,MSE operational in management?,Operational in management citation
Capelin,Mallotus villosus,Barents Sea,64,Yes,ICES 2016 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2016/WKNEAMP/02_WKNEAMP2%20Report%202016.doc.pdf),Yes,The confirmation is in the latest advice sheet (Table 4) and references therein (http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cap.27.1-2.pdf)
Greater silver smelt,Argentina silus,ICES 1-2-3a-4,22,unknown,NA,No,NA
Herring,Clupea harengus,ICES 1-2-4a-5-14a (Norwegian Spring Spawners),22,Yes,http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.1-24a514a.pdf,Yes,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Herring,Clupea harengus,ICES 3a-4-7d,22,Yes,"ICES. 2019. EU and Norway request concerning the long-term management strategy of cod, saithe, and whiting, and of North Sea autumn-spawning herring. In Report of the ICES Advisory Committee, 2019. ICES Advice 2019, sr.2019.06, https://doi.org/10.17895/ices.advice.4895.",No,NA
Mackerel,Scomber scombrus,ICES Northeast Atlantic,22,Yes,"ICES 2020. Workshop on Management Strategy Evaluation of Mackerel (WKMSEMAC). ICES Scientific Reports, 2:74. 175 pp. https://doi.org/10.17895/ices.pub.7445",No,NA
Sand eel,Ammodytes spp,Sandeel Area 5,22,unknown,NA,No,NA
Sand eel,Ammodytes spp,Sandeel Area 7,22,unknown,NA,No,NA
Peruvian anchoveta,Engraulis ringens,North-Central Peruvian coast,13,in progress,IMARPE (2019),No,NA
Sprat,Sprattus sprattus,Baltic Areas 22-32,23,No,NA,No,NA
Blue jack mackerel,Trachurus picturatus,Azores,25,unknown,NA,No,NA
Horse mackerel,Trachurus trachurus,Portugese Waters -East,25,unknown,NA,No,NA
Sardine,Sardina pilchardus,ICES 8c-9a,26,Yes,"ICES (2019) Workshop on the Iberian sardine management and recovery plan (WKSARMP). ICES Scientific Reports 1, 125.  http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/Special_Requests/pores.2019.26.pdf",Yes,http://ices.dk/sites/pub/Publication%20Reports/Advice/2020/2020/pil.27.8c9a.pdf
Sardinella,Sardinella spp,West Africa,27,No,NA,No,NA
Anchovy,Engraulis encrasicolus,South Africa,29,Yes,de Moor and Butterworth (2016) Incorporating technological interactions in a joint management procedure for South African sardine and anchovy. Chapter 11. Edwards and Dankel (eds). Management Science in Fisheries. de Moor et al. 2011. Is the Management Procedure approach equipped to handle short-lived pelagic species with their boom and bust dynamics? The case of the South African fishery for sardine and anchovy. ICES JMS 68:2075-2085,Yes,Plagányi et al. (2007)
Horse mackerel,Trachurus capensis,South Africa South coast,29,Yes,"Furman, L.B. 2014. Using Management Strategy Evaluation to address problems arising as a result of competing users of the South African horse mackerel resource. MSc Thesis, University of Cape Town. Viii+132pp",No,NA
Round herring,Etrumeus whiteheadi,South Africa,29,No,,No,No
Sardine,Sardinops sagax,South Africa,29,Yes,"de Moor and Butterworth (2016) Incorporating technological interactions in a joint management procedure for South African sardine and anchovy. Chapter 11. Edwards and Dankel (eds). Management Science in Fisheries. de Moor et al. 2011. Is the Management Procedure approach equipped to handle short-lived pelagic species with their boom and bust dynamics? The case of the South African fishery for sardine and anchovy. ICES JMS 68:2075-2085. De Oliveira, J., Butterworth, D.S., Roel, B.A., Cochrane, K.L., Brown, J.P., 1998. The application of a management procedure to regulate the directed and bycatch fishery of South African sardine sardinops sagax. African Journal of Marine Science 19.",Yes,NA
Anchovy,Engraulis encrasicolus,Bay of Biscay,24,Yes,Sanchez et al. (2019) Also look at Annex 9 of http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2016/WGHANSA/01%20WGHANSA%20Report%202016.pdf for further references.,Yes,http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/ane.27.8.pdf
Anchovy,Engraulis encrasicolus,Northern Alboran Sea,26,unknown,NA,No,NA
Anchovy,Engraulis encrasicolus,Northern Spain,26,unknown,NA,No,NA
Anchovy,Engraulis encrasicolus,Portugese Waters -East,24,unknown,NA,No,NA
European pilchard,Sardina pilchardus,Northern Alboran Sea,26,No,NA,No,NA
European pilchard,Sardina pilchardus,Northern Spain,26,No,NA,No,NA
Herring,Clupea harengus,ICES 22-24-3a,23,unknown,NA,No,NA
Herring,Clupea harengus,Subdivisions 25-29 and 32,23,No,NA,No,NA
Anchovy,Engraulis encrasicolus,Black Sea,62,unknown,NA,No,NA
Mediterranean horse mackerel,Trachurus mediterraneus,Black Sea,26,unknown,NA,No,NA
Sprat,Sprattus sprattus,Black Sea,62,unknown,NA,No,NA
Atlantic menhaden,Brevoortia tyrannus,Atlantic,7,in progress,http://www.asmfc.org/uploads/file/5e4c4064AtlMenhadenERPAssmt_PeerReviewReports.pdf,No,NA
Gulf menhaden,Brevoortia patronus,Gulf of Mexico,3,unknown,NA,No,NA
Herring,Clupea harengus,Northwestern Atlantic Coast,7,Yes,Deroba et al. (2018),In progress,Goethel et al. (2018)
Pacific chub mackerel,Scomber japonicus,Pacific Coast,3,No,NA,No,NA
Pacific herring,Clupea pallasii,Prince William Sound,1,No,NA,No,NA
Pacific herring,Clupea pallasii,Sitka,2,No,NA,No,NA
Pacific herring,Clupea pallasii,Togiak District,1,No,NA,No,NA
Pacific sardine,Sardinops sagax,Pacific Coast,3,Yes,"Hurtado-Ferro, F., Punt, A.E., 2014. Revised Analyses Related to Pacific Sardine Harvest Parameters. Pacific Fishery Management Council, 7700 NE Ambassador Place, Portland, OR. AND Pacific Fishery Management Council, Amendment 8 to the northern anchovy fishery management plan , 1998Portland, ORPacific Fishery Management Council http://www.pcouncil.org/coastal-pelagic-species/fishery-management-plan-and-amendments/",Not sure,NA
Antarctic krill,Euphausia superba,Antarctic,61,Yes,"Plaganyi, E.E., Butterworth, D.S., 2012. The Scotia Sea krill fishery and its possible impacts on dependent predators: modeling localized depletion of prey. Ecological Applications 22, 748–761.",Not sure,NA
