Common name,Species,Stock ,LME,Location (based on SPACC designated regions),MSE / OMP built?,AEP,MSE built citation,MSE operational in management?,Operational in management citation,Covered in ICES/PICES discussion?,Notes,Justification,,,,,,,,,,,,,,,,
Atlantic herring,Clupea harengus,Icelandic summer spawning herring - stock key her.27.5a,22,,Yes,,ICES 2017 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2017/WKICEMSE/wkicemse_2017.pdf),Yes,"Agreed, although I could not find the latest advice sheet. The advice sheet for last year is here: http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.5a.pdf. This confirms a long-term mangement plan is used (see Table 4).",Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),"The ICES stock is defined as: Herring (Clupea harengus) in Division 5.a, summer-spawning herring (Iceland grounds) ",,,,,,,,,,,,,,,,
Herring,Clupea harengus,Celtic Sea herring  - stock key her.27.irls,24,,Yes,,ICES 2018 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/HAWG/01%20HAWG%20Report%202018.pdf),No,"There is currently no management plan for this stock (see latest advice sheet, Table 4 in Annex 1: ices.dk/sites/pub/Publication%20Reports/Advice/2020/2020/her.27.irls.pdf). A long-term management plan was proposed and evaluated by ICES, but found not to meet precuationary criteria (see Table 4 of Annex 1).",Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),"The ICES stock is defined as: Herring (Clupea harengus) in divisions 7.a South of 52°30’N, 7.g–h, and 7.j–k (Irish Sea, Celtic Sea, and southwest of Ireland) ",,,,,,,,,,,,,,,,
Southern horse mackerel,Trachurus trachurus,Atlanto-Iberian - stock key hom27.9a,25,,Yes,,ICES 2018 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/AD%20HOC/Ad_Hoc_Report_hom27_9a_2018.pdf),Yes,"I agree, yes, even though this is another case where managere have decided not to follow the MSE-evaluated plan. In this case, the plan is still provided as a management option in the catch scenario table of the advice sheet (http://ices.dk/sites/pub/Publication%20Reports/Advice/2020/2020/hom.27.9a.pdf). For the plan, see references in the advice sheet, Table 4 of Annex 1.",Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),The ICES stock is defined as: Horse mackerel (Trachurus trachurus) in Division 9.a (Atlantic Iberian waters) ,,,,,,,,,,,,,,,,
Atlantic mackerel,Scomber scombrus,"North east atlantic, subdivision 1-7",22,Northeast Atlantic,Yes,,ICES 2017 http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2017/WKMACMSE/wkmacmse_2017.pdf,Yes,,,from ICES WKMACMSE http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2017/WKMACMSE/wkmacmse_2017.pdf,The ICES stock is defined as: http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/mac.27.nea.pdf,"I changed this to yes, because the MSE-evaluated long-term management strategy is provided as a management option in the catch scenarios table (Table 3 of advice sheet: http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/mac.27.nea.pdf)
Please be aware though that a replacement management plan is currently being evaluated (the workshops have been held in the past few weeks, and the report is yet to be released. Managers have yet to discuss this evaluation.",,,,,,,,,,,,,,,
Pacific hake,Merluccius productus,California current,3,California Current,Yes,,,Not sure,,No,,,,,,,,,,,,,,,,,,
Norway pout,Trisopterus esmarkii,North Sea,22,Northeast Atlantic,Yes,,ICES 2018 http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKNPOUT/WKNPOUT%20Report%202018.pdf,Yes,"Although a management plan is not agreed, the use of Bescapement with Fcap has been simulation-tested within an MSE. See the latested advice sheet and references therein, particularly ICES 2018a-c: http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/nop.27.3a4.pdf",No?,ICES 2018 http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKNPOUT/WKNPOUT%20Report%202018.pdf,"The ICES stock is defined as: Norway pout (Trisopterus esmarkii) in Subarea 4 and Division 3.a (North Sea, Skagerrak, and Kattegat) ",,,,,,,,,,,,,,,,
Herring,Clupea pallasii,Yellow Sea,48,,No,,NA,No,,No,,,,,,,,,,,,,,,,,,
Sardine,Sardina pilchardus,Adriatic,26,Northeast Atlantic,Yes,,http://www.fao.org/gfcm/technical-meetings/detail/en/c/1198582/,No,,Yes,,,,,,,,,,,,,,,,,,
Sardine,Sardina pilchardus,Mediterranean stocks (except Adriatic Sea),26,Northeast Atlantic,No,,NA,No,,No,,,,,,,,,,,,,,,,,,
Atlantic menhaden,Brevoortia tyrannus,This is the only one!,7,Northwest Atlantic,No,,NA,No,,Yes,,,,,,,,,,,,,,,,,,
